AERONET_Database_Site_List,Num=2,Date_Generated=20:10:2016
Site_Name,Longitude(decimal_degrees),Latitude(decimal_degrees),Elevation(meters)
Lake_Argyle,128.748500,-16.108100,150.000000
Munich_University,11.573000,48.148000,533.000000
Lecce_University,18.111389,40.335111,30.000000
Coleambally,146.064400,-34.810100,127.000000
Tarbes_Etal,0.049283,43.224033,332.000000
Kuwait_University,47.971000,29.325000,42.000000
Hermosillo,-110.960000,29.074722,237.000000
Yekaterinburg,59.545000,57.038333,300.000000
Mussafa,54.466667,24.371667,10.000000
Tomsk,85.047000,56.477333,130.000000
London-UCL-UAO,-0.131101,51.524270,46.605000
Yakutsk,129.366667,61.661667,118.500000
ATHENS-NOA,23.775000,37.988000,130.000000
Dahkla,-15.950000,23.716667,12.000000
ISDGM_CNR,12.331982,45.436981,20.000000
Taipei_CWB,121.500000,25.030000,26.000000
Chen-Kung_Univ,120.216667,23.000000,50.000000
Fontainebleau,2.680278,48.406667,85.000000
Munich_Maisach,11.258000,48.209000,520.000000
Norfolk_State_Univ,-76.259000,36.848000,20.000000
Monterey,-121.854867,36.592550,50.000000
Belsk,20.791667,51.836667,190.000000
Fresno,-119.773167,36.781733,0.000000
IHOP-Homestead,-100.606183,36.558333,850.000000
Toravere,26.460000,58.255000,70.000000
Corcoran,-119.566100,36.103430,110.000000
Andenes,16.008611,69.278333,379.000000
SMEX,-93.664000,41.936000,316.000000
Halifax,-63.594000,44.638000,65.000000
Villefranche,7.328889,43.683889,130.000000
Jaru_Reserve,-61.933333,-10.083333,162.000000
CRYSTAL_FACE,-80.422167,25.650167,5.000000
Ji_Parana_UNIR,-61.966667,-10.883333,100.000000
North_Pole,24.254330,88.803330,0.000000
Wits_University,28.028972,-26.192444,1775.000000
Ahi_De_Cara,-3.229722,37.116667,2103.000000
Armilla,-3.242222,37.133333,691.000000
Pitres,-3.222222,36.933333,1252.000000
Kuujjuarapik,-77.800000,55.300000,0.000000
Porto_Velho,-63.950000,-8.770000,110.000000
FORTH_CRETE,25.282417,35.332694,20.000000
AntarcticaDomeC,123.300000,-75.083333,3260.000000
Palencia,-4.515694,41.988572,750.000000
Canberra,149.111100,-35.271300,600.000000
Lannion,-3.461944,48.730833,15.000000
Amsterdam_Island,77.573333,-37.810000,30.000000
Chulalongkorn,100.530278,13.736111,115.000000
Omkoi,98.431667,17.798333,1120.000000
Pimai,102.564167,15.181944,220.000000
Hua_Hin,99.951111,12.634444,1.000000
Palgrunden,13.151500,58.755333,49.000000
Bac_Giang,106.225472,21.291416,15.000000
Bac_Lieu,105.730000,9.280000,10.000000
Cabo_Raso,-9.485870,38.709370,20.000000
Carpentras,5.058333,44.083333,100.000000
