,Facility Name,orispl_code,Gross Load (MW-h),EPA Region,latitude,longitude,State,County,timezone,time_offset
456,A B Brown Generating Station,6137,2653410.11,5,37.9053,-87.715,IN,Posey,America/Chicago,6.0
457,Alcoa Allowance Management Inc,6705,5767974.94,5,37.915,-87.3328,IN,Warrick,America/Chicago,6.0
458,Anderson,7336,18884.5,5,40.0529,-85.7389,IN,Madison,America/Indiana/Indianapolis,5.0
459,ArcelorMittal USA - Indiana Harbor East,10474,,5,41.68,-87.4264,IN,Lake,America/Chicago,6.0
460,BP Whiting Business Unit,52130,,5,41.6703,-87.4803,IN,Lake,America/Chicago,6.0
461,Bailly Generating Station,995,2132626.69,5,41.6433,-87.1225,IN,Porter,America/Chicago,6.0
462,Broadway Avenue Generating Station,1011,10897.37,5,37.9694,-87.6044,IN,Vanderburgh,America/Chicago,6.0
463,C. C. Perry K Steam Plant,992,,5,39.7622,-86.1667,IN,Marion,America/Indiana/Indianapolis,5.0
464,Cayuga,1001,5331551.89,5,39.9239,-87.4272,IN,Vermillion,America/Indiana/Indianapolis,5.0
465,Clifty Creek,983,6444767.47,5,38.7383,-85.4192,IN,Jefferson,America/Indiana/Indianapolis,5.0
466,Connersville Peaking Station,1002,254.84,5,39.6561,-85.1758,IN,Fayette,America/Indiana/Indianapolis,5.0
467,Edwardsport Generating Station,1004,197231.31,5,38.8067,-87.2472,IN,Knox,America/Indiana/Vincennes,5.0
468,F B Culley Generating Station,1012,1856465.99,5,37.91,-87.3267,IN,Warrick,America/Chicago,6.0
469,Frank E Ratts,1043,521781.93,5,38.5201,-87.2662,IN,Pike,America/Indiana/Petersburg,5.0
470,Georgetown Substation,7759,155309.66,5,39.9022,-86.2439,IN,Marion,America/Indiana/Indianapolis,5.0
471,Gibson,6113,20265007.45,5,38.3722,-87.7661,IN,Gibson,America/Chicago,6.0
472,Henry County Generating Station,7763,79517.21,5,39.9528,-85.5039,IN,Henry,America/Indiana/Indianapolis,5.0
473,Hoosier Energy Lawrence Co Station,7948,68580.81,5,38.8003,-86.4511,IN,Lawrence,America/Indiana/Indianapolis,5.0
474,IPL - Eagle Valley Generating Station,991,350211.29,5,39.4851,-86.4176,IN,Morgan,America/Indiana/Indianapolis,5.0
475,IPL - Harding Street Station (EW Stout),990,4135981.77,5,39.7119,-86.1975,IN,Marion,America/Indiana/Indianapolis,5.0
476,IPL - Petersburg Generating Station,994,10595937.99,5,38.5267,-87.2525,IN,Pike,America/Indiana/Petersburg,5.0
477,Lawrenceburg Energy Facility,55502,6778247.66,5,39.0913,-84.8667,IN,Dearborn,America/New_York,5.0
478,Merom,6213,5882734.27,5,39.0694,-87.5108,IN,Sullivan,America/Indiana/Indianapolis,5.0
479,Michigan City Generating Station,997,2498441.79,5,41.7203,-86.9097,IN,LaPorte,America/Chicago,6.0
480,Montpelier Electric Gen Station,55229,157128.16,5,40.6206,-85.3057,IN,Wells,America/Indiana/Indianapolis,5.0
481,"Noble Americas South Bend Ethanol, LLC.",880087,,5,41.6552,-86.2962,IN,Saint Joseph,America/Indiana/Indianapolis,5.0
482,Noblesville,1007,592299.39,5,40.0969,-85.9714,IN,Hamilton,America/Indiana/Indianapolis,5.0
483,Portside Energy,55096,100718.8,5,41.6317,-87.1728,IN,Porter,America/Chicago,6.0
484,Purdue University-Wade Utility,50240,,5,40.4172,-86.9117,IN,Tippecanoe,America/Indiana/Indianapolis,5.0
485,R Gallagher,1008,286458.58,5,38.2636,-85.8381,IN,Floyd,America/Kentucky/Louisville,5.0
486,R M Schahfer Generating Station,6085,6725847.0,5,41.2175,-87.0239,IN,Jasper,America/Chicago,6.0
487,Richmond (IN),7335,4025.75,5,39.8383,-84.9665,IN,Wayne,America/Indiana/Indianapolis,5.0
488,Rockport,6166,19717921.29,5,37.9256,-87.0372,IN,Spencer,America/Chicago,6.0
489,State Line Generating Station (IN),981,596249.62,5,41.7072,-87.5217,IN,Lake,America/Chicago,6.0
490,Sugar Creek Generating Station,55364,3205088.65,5,39.3922,-87.5103,IN,Vigo,America/Indiana/Indianapolis,5.0
491,Tanners Creek,988,3043226.04,5,39.0831,-84.8581,IN,Dearborn,America/New_York,5.0
492,US Steel Corp - Gary Works,50733,,5,41.6133,-87.3281,IN,Lake,America/Chicago,6.0
493,Vermillion Generating Station,55111,96675.39,5,39.9208,-87.445,IN,Vermillion,America/Indiana/Indianapolis,5.0
494,Wabash River Gen Station,1010,1842031.29,5,39.53,-87.4247,IN,Vigo,America/Indiana/Indianapolis,5.0
495,Wheatland Generating Facility LLC,55224,104952.24,5,38.6716,-87.2931,IN,Knox,America/Indiana/Vincennes,5.0
496,Whitewater Valley,1040,30060.79,5,39.8028,-84.8953,IN,Wayne,America/Indiana/Indianapolis,5.0
497,"Whiting Clean Energy, Inc.",55259,1645741.82,5,41.6739,-87.4778,IN,Lake,America/Chicago,6.0
498,Worthington Generation,55148,18391.84,5,39.0717,-87.0128,IN,Greene,America/Indiana/Indianapolis,5.0
499,Chanute 2,1268,7042.25,7,37.6953,-95.4586,KS,Neosho,America/Chicago,6.0
500,Cimarron River,1230,188988.91,7,37.1611,-100.7619,KS,Seward,America/Chicago,6.0
501,Coffeyville,1271,35373.88,7,37.0456,-95.6076,KS,Montgomery,America/Chicago,6.0
502,East 12th Street,7013,10103.0,7,37.2376,-96.9619,KS,Cowley,America/Chicago,6.0
503,Emporia Energy Center,56502,571447.0,7,38.4464,-96.0651,KS,Lyon,America/Chicago,6.0
504,Fort Dodge aka Judson Large,1233,468263.51,7,37.7328,-99.9497,KS,Ford,America/Chicago,6.0
505,Garden City,1336,128020.67,7,37.9703,-100.8956,KS,Finney,America/Chicago,6.0
506,Gordon Evans Energy Center,1240,642541.56,7,37.7903,-97.5217,KS,Sedgwick,America/Chicago,6.0
507,Great Bend Station aka Arthur Mullergren,1235,156399.11,7,38.41,-98.8689,KS,Barton,America/Chicago,6.0
508,Holcomb,108,2141507.66,7,37.9306,-100.9725,KS,Finney,America/Chicago,6.0
